model,Q50,Q5.5,Q94.5,Q2.5,Q97.5,performance,data,outcome
model3,0.846938776,0.540816327,0.897959184,0.494897959,0.903061224,auc,testing,HIV/S
model4,0.864795918,0.543367347,0.915816327,0.49744898,0.926020408,auc,testing,HIV/S
model5,0.864795918,0.56377551,0.920918367,0.517857143,0.931122449,auc,testing,HIV/S
model6,0.859693878,0.568877551,0.920918367,0.528061224,0.926020408,auc,testing,HIV/S
model7,0.849489796,0.553571429,0.915816327,0.512627551,0.926020408,auc,testing,HIV/S
model8,0.867346939,0.596938776,0.943877551,0.525510204,0.954081633,auc,testing,HIV/S
model9,0.885204082,0.594107143,0.946428571,0.533163265,0.956632653,auc,testing,HIV/S
ref,0.831632653,0.525510204,0.93877551,0.494897959,0.954081633,auc,testing,HIV/S
model1,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model2,0.891566265,0.819277108,0.939759036,0.795180723,0.951807229,sensitivity,testing,HIV/HCV
model3,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model4,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model5,0.879518072,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model6,0.879518072,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model7,0.879518072,0.819277108,0.939759036,0.807228916,0.939759036,sensitivity,testing,HIV/HCV
model8,0.879518072,0.819277108,0.939759036,0.807228916,0.939759036,sensitivity,testing,HIV/HCV
model9,0.879518072,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
ref,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model1,0.294117647,0.117647059,0.529411765,0.117647059,0.588235294,specificity,testing,HIV/HCV
model2,0.352941176,0.176470588,0.529411765,0.117647059,0.588235294,specificity,testing,HIV/HCV
model3,0.411764706,0.176470588,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model4,0.411764706,0.176470588,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model5,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model6,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model7,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model8,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model9,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
ref,0.411764706,0.176470588,0.588235294,0.117647059,0.647058824,specificity,testing,HIV/HCV
model1,0.868887314,0.868887314,0.868887314,0.868887314,0.868887314,auc,testing,HIV/HCV
model2,0.876328845,0.852232459,0.883416017,0.846562721,0.883416017,auc,testing,HIV/HCV
model3,0.88766832,0.856484763,0.905386251,0.847253721,0.907512403,auc,testing,HIV/HCV
model4,0.891920624,0.8621545,0.908929837,0.852941176,0.911764706,auc,testing,HIV/HCV
model5,0.891920624,0.854319631,0.912473423,0.838749114,0.916017009,auc,testing,HIV/HCV
model6,0.890148831,0.853295535,0.912119064,0.837686038,0.917097803,auc,testing,HIV/HCV
model7,0.892629341,0.854358611,0.916764706,0.841601701,0.920269313,auc,testing,HIV/HCV
model8,0.891920624,0.850106308,0.916017009,0.838040397,0.919560595,auc,testing,HIV/HCV
model9,0.892274982,0.851169383,0.917080085,0.831289865,0.921332388,auc,testing,HIV/HCV
ref,0.8929837,0.849043232,0.919953933,0.830598866,0.925584692,auc,testing,HIV/HCV
model1,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model2,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model3,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model4,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model5,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model6,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model7,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model8,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model9,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
ref,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model1,0,0,0.5,0,0.5,specificity,testing,HIV
